100007	3
100009	1
10001	1
100034	9
100042	1
100044	1
100052	1
100066	4
100067	2
100074	1
100078	1
100088	1
10009	1
100104	2
100106	3
100107	1
100122	13
100131	1
100133	1
100135	1
100139	1
100147	2
100157	3
100160	1
100165	1
100173	1
100181	1
100183	1
100188	1
10019	1
100191	1
100200	3
100214	2
100217	1
100222	1
100224	1
100227	1
100230	1
10024	6
100244	1
100249	2
100259	1
100260	1
100261	2
100262	11
100269	84
100270	1
100274	1
100281	2
100285	2
100286	1
100287	2
100293	1
100294	4
100295	1
100302	1
100307	1
1003	10
100311	1
100318	8
100320	4
100323	1
100330	1
100339	1
100345	2
100346	1
100351	2
100357	1
100360	2
10036	1
100369	2
100371	6
100373	1
100383	1
100406	2
100408	2
1004	2
100411	1
100412	1
100413	1
100417	1
100426	1
100427	1
100429	1
100430	1
100431	3
100434	2
100454	3
100455	1
100460	2
100469	1
100470	1
100479	1
10049	7
100494	1
100497	1
10050	3
100502	1
100506	1
100517	1
100519	1
100523	1
100532	1
100533	2
100537	6
100539	1
100548	2
100552	1
100557	1
100559	1
100570	1
100573	1
100574	1
100575	1
100583	1
100586	1
100587	2
100588	2
100592	1
100597	1
100598	3
100608	2
100611	1
100615	1
100619	8
100620	1
100627	1
100632	1
100633	1
100637	1
100642	1
100643	1
100645	1
100654	1
100660	1
100676	1
100681	2
100687	3
100690	1
100700	4
100704	1
100705	1
100707	1
100711	1
100714	1
100716	1
100724	2
100734	3
100735	1
100740	2
10074	1
100745	3
100751	1
100754	1
100758	1
10076	2
100767	1
100772	1
100774	1
100779	1
100780	1
100782	5
100793	1
100794	1
100798	1
100800	1
100802	1
100807	1
100808	1
100817	1
100819	2
10083	1
100841	1
100842	1
100849	1
10085	1
100853	1
100857	1
100858	1
10086	1
100861	1
100866	2
100872	1
100874	1
100876	1
10088	1
100882	2
100883	1
100892	4
100895	7
100896	1
100905	5
100908	2
100911	1
100916	1
100919	1
100928	2
100932	1
100933	2
100936	2
10094	7
100942	1
100952	1
100965	1
100967	8
100969	1
100971	1
100985	3
100986	7
100988	1
100998	1
10100	1
101005	3
101006	1
101008	1
101012	1
10102	1
101032	2
101051	1
101057	1
101060	1
10108	1
101081	1
101101	2
1011	9
101121	1
101122	1
